Barikoi id,Barikoi unions,district,RedX Area Name,Barikoi subdistrict,RedX Area ID,Hub Name
1,Dhansagar,Bagerhat,Sarankhola,Sarankhola,763,Bagerhat HUB
2,Daibagnyahati,Bagerhat,Morelganj,Morrelganj,761,Bagerhat HUB
3,Ramchandrapur,Bagerhat,Morelganj,Morrelganj,761,Bagerhat HUB
4,Kodalia,Bagerhat,Mollarhat,Mollahat,759,Bagerhat HUB
5,Rakhalgachhi,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,755,Bagerhat HUB
6,Kalatala,Bagerhat,Chitalmari,Chitalmari,756,Bagerhat HUB
7,Betaga,Bagerhat,Fakirhat (Bagerhat),Fakirhat,757,Bagerhat HUB
8,Dakshin Khali Union,Bagerhat,Sarankhola,Sarankhola,763,Bagerhat HUB
9,Suniltala,Bagerhat,Mongla,Mongla,760,Bagerhat HUB
10,Perikhali,Bagerhat,Rampal,Rampal,762,Bagerhat HUB
11,Rajnagar,Bagerhat,Rampal,Rampal,762,Bagerhat HUB
12,Naldha Maubhog,Bagerhat,Fakirhat (Bagerhat),Fakirhat,757,Bagerhat HUB
13,Mithakhali,Bagerhat,Mongla,Mongla,760,Bagerhat HUB
14,Jiudhara,Bagerhat,Morelganj,Morrelganj,761,Bagerhat HUB
15,Putikhali,Bagerhat,Morelganj,Morrelganj,761,Bagerhat HUB
16,Piljanga,Bagerhat,Fakirhat (Bagerhat),Fakirhat,757,Bagerhat HUB
17,Dema,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,755,Bagerhat HUB
18,Hurka,Bagerhat,Rampal,Rampal,762,Bagerhat HUB
19,Bishnupur,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,755,Bagerhat HUB
20,Kachua,Bagerhat,Kachua(Bagerhat),Kachua,758,Bagerhat HUB
21,Baintala,Bagerhat,Rampal,Rampal,762,Bagerhat HUB
22,Khanpur,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,755,Bagerhat HUB
23,Atjuri,Bagerhat,Mollarhat,Mollahat,759,Bagerhat HUB
24,Badhal,Bagerhat,Kachua(Bagerhat),Kachua,758,Bagerhat HUB
25,Nishanbaria,Bagerhat,Morelganj,Morrelganj,761,Bagerhat HUB
26,Fakirhat,Bagerhat,Fakirhat (Bagerhat),Fakirhat,757,Bagerhat HUB
