subdistrict,district,subdistrict_regex
Abhaynagar,Jessore,(a+|o)(bh*|v)(a+|o)(i|y)\s*n(a|o)g+h*(a|o)r
Adabor,Dhaka,\s+a+dh*a+b(a|o)r\s+
Adamdighi,Bogra,a+d(a|o|u)m\s*d(i|e)gh*i
Aditmari,Lalmonirhat,\s+a+dit\s*ma+r(i|y)\s+
Agailjhara,Barisal,\s+a+gh*(a|o)a*il\s*(j|z)h*ara\s+
Ajmiriganj,Habiganj,a(j|z)mir(i|y)\s*gh*(o|a)n(j|z)
Akhaura,Brahamanbaria,\s+a+kh*(a|o)+(o|u|w)ra\s+
Akkelpur,Joypurhat,\s+ak+h*(a|e)lp(o+|u)r\s+
Alamdanga,Chuadanga,al(o+|a+)mdh*angh*a+
Alfadanga,Faridpur,al+fh*adh*angh*a+
Alikadam,Bandarban,al(i|e)+\s*(c|k)(o|a)d(a|o)m
Amtali,Barguna,\s+amt(o|a)l(i|e+|y+)\s+
Anowara,Chittagong,\s+an(o+|u)*w*(a|o)ra+\s+
Araihazar,Narayanganj,a+r+a(i|y)ha(j|z)ar
Ashuganj,Brahamanbaria,\s+ash*(o+|u)gh*(o|a)n(j|z)\s+
Assasuni,Satkhira,\s+as+h*ash*(o|u)n(i|y)\s+
Atgharia,Pabna,a+(d|t+)h*gh*(a|o)riy*a
Atpara,Netrakona,\s+a+(d|t+)h*pa+ra\s+
Atrai,Naogaon,\s+a+(d|t+)ra(i|y)\s+
Atwari,Panchagarh,a+t+h*(u|o)*war(i|e)|at(u|o)w*ari
Austagram,Kishoreganj,\s+(a|o)u*str*(a|o)\s*gh*ra+m\s+
Babuganj,Barisal,\s+ba+b(o|u)\s*gh*(o|a)n(j|z)\s+
Badalgachhi,Naogaon,\s+ba+d(a|o)l\s*gh*ach+(i|y)\s+
Badarganj,Rangpur,b(a+|o)d(a+|o)r\s*gh*(o|a)n(j|z)
Badda,Dhaka,\s+bad+a\s+
Bagati Para,Natore,\s+bh*agh*at(i|y)\s*pa+ra\s+
Bagerhat Sadar,Bagerhat,ba+gh*erhath*\s*s(a|o)d(a|o)r
Bagha,Rajshahi,\s+bagha\s+
Baghai Chhari,Rangamati,ba+gh*a(i|y)\s*ch+(a|o)r(i|y)
Bagher Para,Jessore,\s+ba+gh*(a|e)r\s*pa+ra\s+
Baghmara,Rajshahi,\s+ba+gh*\s*ma+ra\s+
Bahubal,Habiganj,\s+ba+h(o+|u)bh*(a+|o+)+l\s+
Bajitpur,Kishoreganj,\s+ba+(j|z)(i|e)t\s*p(o+|u)r\s+
