ক্ক ,kk
ক্ট ,ct
ক্ট্র ,ctr
ক্ত,kT
ক্ত্র ,ktr
ক্ব ,k
ক্ম ,kn
ক্য ,ky
ক্র ,kr
ক্ল ,cl
ক্ষ ,kh
ক্ষ্ণ ,khon
ক্ষ্ব ,kkh
ক্ষ্ম ,kkh
ক্ষ্ম্য ,kkh
ক্ষ্য ,khy
ক্স ,ks
খ্য ,khy
খ্র ,khr
গ্‌ণ ,gn
গ্ধ ,gdh
গ্ধ্য ,gdhy
গ্ধ্র ,gdhr
গ্ন ,gn
গ্ন্য ,gny
গ্ব ,g
গ্ম ,gm
গ্য ,gy
গ্র ,gr
গ্র্য ,gry
গ্ল ,gl
ঘ্ন ,ghn
ঘ্য ,ghy
ঘ্র ,ghr
ঙ্ক ,nk
ঙ্‌ক্ত ,nkt
ঙ্ক্য ,nky
ঙ্ক্ষ ,nkh
ঙ্খ ,nkh
ঙ্গ ,ng
ঙ্গ্য ,ngy
ঙ্ঘ ,ngh
ঙ্ঘ্য ,nghy
ঙ্ঘ্র ,nghr
ঙ্ম ,nm
চ্চ ,cch
চ্ছ ,cch
চ্ছ্ব ,cch
চ্ছ্র ,cchr
চ্ঞ ,nch
চ্ব ,ch
চ্য ,chy
জ্জ ,jj
জ্জ্ব ,jj
জ্ঝ ,jjh
জ্ঞ ,gg
জ্ব ,j
জ্য ,jy
জ্র ,jr
ঞ্চ ,nch
ঞ্ছ ,nch
ঞ্জ ,nj
ঞ্ঝ ,njh
ট্ট ,tt
ট্ব ,t
ট্ম ,tm
ট্য ,ty
ট্র ,tr
ড্ড ,dd
ড্ব ,d
ড্য ,dy
ড্র ,dr
ড়্গ ,dg
ঢ্য ,dhy
ঢ্র ,dhr
ণ্ট ,nt
ণ্ঠ ,nth
ণ্ঠ্য ,nthy
ণ্ড ,nd
ণ্ড্য ,ndy
ণ্ড্র ,ndr
ণ্ঢ ,ndh
ণ্ণ ,nn
ণ্ব ,n
ণ্ম ,nm
ণ্য ,ny
ৎক ,tk
ত্ত ,tt
ত্ত্ব ,tt
ত্ত্য ,tty
ত্থ ,tth
ত্ন ,tn
ত্ব ,t
ত্ম ,tt
ত্ম্য ,tty
ত্য ,ty
ত্র ,tr
ত্র্য ,try
ৎল ,tl
ৎস ,ts
থ্ব ,th
থ্য ,thy
থ্র ,thr
দ্গ ,dg
দ্ঘ ,dgh
দ্দ ,dd
দ্দ্ব ,dd
দ্ধ ,ddh
দ্ব ,d
দ্ভ ,dv
দ্ভ্র ,dvr
দ্ম ,dm
দ্য ,dy
দ্র ,dr
দ্র্য ,dry
ধ্ন ,dhn
ধ্ব ,dh
ধ্ম ,dhm
ধ্য ,dhy
ধ্র ,dhr
ন্ট ,nt
ন্ট্র ,ntr
ন্ঠ ,nth
ন্ড ,nd
ন্ড্র ,ndr
ন্ত ,nt
ন্ত্ব ,nt
ন্ত্য ,nty
ন্ত্র ,ntr
ন্ত্র্য ,ntry
ন্থ ,nth
ন্থ্র ,nthr
ন্দ ,nd
ন্দ্য ,ndy
ন্দ্ব ,nd
ন্দ্র ,ndr
ন্ধ ,ndh
ন্ধ্য ,ndhy
ন্ধ্র ,ndhr
ন্ন ,nn
ন্ব ,n
ন্ম ,nm
ন্য ,ny
প্ট ,pt
প্ত ,pt
প্ন ,pn
প্প ,pp
প্য ,py
প্র ,pr
প্র্য ,pry
প্ল ,pl
প্স ,ps
ফ্র ,fr
ফ্ল ,fl
ব্জ ,bj
ব্দ ,bd
ব্ধ ,bdh
ব্ব ,bb
ব্য ,by
ব্র ,br
ব্ল ,bl
ভ্ব ,v
ভ্য ,vy
ভ্র ,vr
ম্ন ,mn
ম্প ,mp
ম্প্র ,mpr
ম্ফ ,mf
ম্ব ,mb
ম্ব্র ,mbr
ম্ভ ,mbh
ম্ভ্র ,mbhr
ম্ম ,mm
ম্য ,my
ম্র ,mr
ম্ল ,ml
য্য ,zy
র্ক ,rk
র্ক্য ,rky
র্গ্য ,rgy
র্ঘ্য ,rgy
র্চ্য ,rchy
র্জ্য ,rjy
র্ণ্য ,rny
র্ত্য ,rty
র্থ্য ,rthy
র্ব্য ,rby
র্ম্য ,rmy
র্শ্য ,rshy
র্ষ্য ,rshy
র্হ্য ,rjj
র্খ ,rkh
র্গ ,rg
র্গ্র ,rgr
র্ঘ ,rghr
র্চ ,rch
র্ছ ,rch
র্জ ,rj
র্ঝ ,rjh
র্ট ,rt
র্ড ,rd
র্ণ ,rn
র্ত ,rt
র্ব,rb
র্ত্র ,rtr
র্থ ,rth
র্দ ,rd
র্দ্ব ,rd
র্দ্র ,rd
র্ধ ,rdh
র্ধ্ব ,rdh
র্ন ,rn
র্প ,rp
র্ফ ,rf
র্ভ ,rv
র্ম ,rm
র্য ,rj
র্ল ,rl
র্শ ,rsh
র্শ্ব ,rsh
র্ষ ,rsh
র্স ,rs
র্হ ,rh
র্ঢ্য ,rdhy
ল্ক ,lk
ল্ক্য ,lky
ল্গ ,lg
ল্ট ,lt
ল্ড ,ld
ল্প ,lp
ল্‌ফ ,lf
ল্ব ,l
ল্‌ভ ,lv
ল্ম ,lm
ল্য ,ly
ল্ল ,ll
শ্চ ,shch
শ্ছ ,shch
শ্ন ,shn
শ্ব ,ssh
শ্ম ,sh
শ্য ,shy
শ্র ,shr
শ্ল ,shl
ষ্ক ,shk
ষ্ক্র ,shkr
ষ্ট ,st
ষ্ট্য ,sty
ষ্ট্র ,str
ষ্ঠ ,sth
ষ্ঠ্য ,sthy
ষ্ণ ,sn
ষ্প ,sp
ষ্প্র ,spr
ষ্ফ ,sf
ষ্ব ,s
ষ্ম ,sm
ষ্য ,sy
স্ক ,sk
স্ক্র ,skr
স্খ ,skh
স্ট ,st
স্ট্র ,str
স্ত ,st
স্ত্ব ,st
স্ত্য ,sty
স্ত্র ,str
স্থ ,sth
স্থ্য ,sthy
স্ন ,sn
স্প ,sp
স্প্র ,spr
স্প্‌ল ,spl
স্ফ ,sph
স্ব ,s
স্ম ,sm
স্য ,sy
স্র ,sr
স্ল ,sl
হ্ণ ,hn
হ্ন ,hn
হ্ব ,hb
হ্ম ,hmm
হ্য ,jy
হ্র ,rh
হ্ল ,hl
র্‍,r
