"adm4_en","adm3_en","adm2_en"
"Dhansagar","Sarankhola","Bagerhat"
"Daibagnyahati","Morrelganj","Bagerhat"
"Ramchandrapur","Morrelganj","Bagerhat"
"Kodalia","Mollahat","Bagerhat"
"Rakhalgachhi","Bagerhat Sadar","Bagerhat"
"Kalatala","Chitalmari","Bagerhat"
"Betaga","Fakirhat","Bagerhat"
"Dakshin Khali Union","Sarankhola","Bagerhat"
"Suniltala","Mongla","Bagerhat"
"Perikhali","Rampal","Bagerhat"
"Rajnagar","Rampal","Bagerhat"
"Naldha Maubhog","Fakirhat","Bagerhat"
"Mithakhali","Mongla","Bagerhat"
"Jiudhara","Morrelganj","Bagerhat"
"Putikhali","Morrelganj","Bagerhat"
"Piljanga","Fakirhat","Bagerhat"
"Dema","Bagerhat Sadar","Bagerhat"
"Hurka","Rampal","Bagerhat"
"Bishnupur","Bagerhat Sadar","Bagerhat"
"Kachua","Kachua","Bagerhat"
"Baintala","Rampal","Bagerhat"
"Khanpur","Bagerhat Sadar","Bagerhat"
"Atjuri","Mollahat","Bagerhat"
"Badhal","Kachua","Bagerhat"
"Nishanbaria","Morrelganj","Bagerhat"
"Fakirhat","Fakirhat","Bagerhat"
"Gopalpur","Kachua","Bagerhat"
"Gota Para","Bagerhat Sadar","Bagerhat"
"Santoshpur","Chitalmari","Bagerhat"
"Ujalkur","Rampal","Bagerhat"
"Udaypur","Mollahat","Bagerhat"
"Burirdanga","Mongla","Bagerhat"
"Gaurambha","Rampal","Bagerhat"
"Gangni","Mollahat","Bagerhat"
"Banshtali","Rampal","Bagerhat"
"Lakhpur","Fakirhat","Bagerhat"
"Chandpai Range","Mongla","Bagerhat"
"Chandpi","Mongla","Bagerhat"
"Hogla Pasha","Morrelganj","Bagerhat"
"Bagerhat Paurashava","Bagerhat Sadar","Bagerhat"
"Mulghar","Fakirhat","Bagerhat"
"Teligati","Morrelganj","Bagerhat"
"Char Baniari","Chitalmari","Bagerhat"
"Hoglabunia","Morrelganj","Bagerhat"
"Baraikhali","Morrelganj","Bagerhat"
"Barai Para","Bagerhat Sadar","Bagerhat"
"Subhadia","Fakirhat","Bagerhat"
"Kulia","Mollahat","Bagerhat"
"Morrelganj Paurashava","Morrelganj","Bagerhat"
"Khuolia","Morrelganj","Bagerhat"
"Chila","Mongla","Bagerhat"
"Chingrakhali","Morrelganj","Bagerhat"
"Shibpur","Chitalmari","Bagerhat"
"Bara Baria","Chitalmari","Bagerhat"
"Panchakaran","Morrelganj","Bagerhat"
"Royenda","Sarankhola","Bagerhat"
"Morrelganj","Morrelganj","Bagerhat"
"Maghia","Kachua","Bagerhat"
"Sharankhola Range","Sarankhola","Bagerhat"
"Kara Para","Bagerhat Sadar","Bagerhat"
"Mongla Port Paurashava","Mongla","Bagerhat"
"Gazalia","Kachua","Bagerhat"
"Banagram","Morrelganj","Bagerhat"
"Shat Gambuj","Bagerhat Sadar","Bagerhat"
"Hizla","Chitalmari","Bagerhat"
"Bemarta","Bagerhat Sadar","Bagerhat"
"Baharbunia","Morrelganj","Bagerhat"
"Chitalmari","Chitalmari","Bagerhat"
"Khontakata","Sarankhola","Bagerhat"
"Bhojpatia","Rampal","Bagerhat"
"Gaola","Mollahat","Bagerhat"
"Rari Para","Kachua","Bagerhat"
"Balaibunia","Morrelganj","Bagerhat"
"Jatrapur","Bagerhat Sadar","Bagerhat"
"Dhopakhali","Kachua","Bagerhat"
"Bahirdia Mansa","Fakirhat","Bagerhat"
"Rampal","Rampal","Bagerhat"
"Malliker Ber","Rampal","Bagerhat"
"Chunkhola","Mollahat","Bagerhat"
"Sundarban","Mongla","Bagerhat"
"Lama Paurashava","Lama","Bandarban"
"Gajalia","Lama","Bandarban"
"Aziznagar","Lama","Bandarban"
"Tindu","Thanchi","Bandarban"
"Paindu","Ruma","Bandarban"
"Ghalangya","Ruma","Bandarban"
"Ghandung","Naikhongchhari","Bandarban"
"Nowa Patang","Rowangchhari","Bandarban"
"Kuhalong","Bandarban Sadar","Bandarban"
"Swalak","Bandarban Sadar","Bandarban"
"Rupshipara","Lama","Bandarban"
"Ruma","Ruma","Bandarban"
